Модель;Закупочная цена
Huawei Mate X7 16/512GB (DEL-LX9) Duos;48149
Huawei Pura 70 Ultra 16/1TB (HBP-LX9) Duos;48149
Huawei Mate X6 12/512GB (ICL-LX9) Duos;39299
Huawei Mate 70 Pro 12/512GB (PLR-L29) Duos;31849
Huawei Pura 80 Pro 12/512GB (LMR-LX9) Duos;31849
Huawei Pura 70 Ultra 16/512GB (HBP-LX9) Duos;30349
Huawei Pura 70 Pro 12/512GB (HBN-LX9) Duos;23100
Huawei Mate X2 8/256GB (TET-AN00) Duos;22600
Huawei Mate Xs 2 8/512GB (PAL-LX9) Duos;21450
Huawei Mate 50 Pro 8/512GB (DCO-LX9) Duos;16850
Huawei P60 Pro 12/512GB (MNA-LX9) Duos;16850
Huawei Pura 70 12/256GB (ADY-LX9) Duos;15700
Huawei Pura 80 12/256GB (HED-LX9) Duos;15700
Huawei Mate 50 Pro 8/256GB (DCO-LX9) Duos;13250
Huawei nova 13 Pro 12/512GB (MIS-LX9) Duos;13250
Huawei P60 Pro 8/256GB (MNA-LX9) Duos;13250
Huawei P50 Pocket 8/256GB (BAL-L49) Duos;12700
Huawei P60 8/256GB (LNA-LX9) Duos;11950
Huawei P50 Pro 8/256GB (JAD-LX9) Duos;10900
Huawei Nova 13 12/512GB (BLK-LX9) Duos;10400
Huawei Mate 50 8/256GB (CET-LX9) Duos;9850
Huawei Nova 13 12/256GB (BLK-LX9) Duos;8200
Huawei Mate 9 Pro 6/128GB (LON-L29) Duos;6050
Huawei Nova 10 8/128GB (NCO-LX1) Duos;6050
Huawei Nova 11 8/256GB (FOA-LX9) Duos;6050
Huawei Nova 8 8/128GB (ANG-LX1) Duos;6050
Huawei Nova 9 8/128GB (NAM-LX9) Duos;6050
Huawei Nova 12 SE 8/256GB (BNE-LX1) Duos;5300
Huawei Nova 9 SE 8/128GB (JLN-LX1) Duos;5300
Huawei Nova Y91 8/256GB (STG-LX1) Duos;5300
Huawei P30 Pro 8/256GB (VOG-L29) Duos;5300
Huawei P40 8/128GB (ANA-NX9) Duos;5300
Huawei Nova 10 SE 8/256GB (BNE-LX1) Duos;4950
Huawei Nova 12i 8/256GB (CTR-L81) Duos;4950
Huawei nova 13i 8/256GB (CTR-L91) Duos;4950
Huawei Nova Y72 8/256GB (MGA-LX3) Duos;4700
Huawei nova Y72S 8/256GB (GFY-LX1) Duos;4700
Huawei Nova 10 SE 8/128GB (BNE-LX1) Duos;4300
Huawei P30 4/64GB (ELE-L29) Duos;4300
Huawei P30 6/128GB (ELE-L29) Duos;4300
Huawei Nova 11i 8/128GB (MAO-LX9N) Duos;4000
Huawei Nova 12i 8/128GB (CTR-L81) Duos;4000
Huawei Nova Y73 8/256GB (MGA-LX3) Duos;4000
Huawei Nova Y91 8/128GB (STG-LX1) Duos;4000
Huawei P20 Pro 6/128GB (CLT-L29) Duos;4000
Huawei P30 Lite 6/256GB (MAR-LX1B) Duos;4000
Huawei P40 Lite 6/128GB (JNY-LX1) Duos;4000
Huawei nova Y63 6/128GB (GFY-LX1) Duos;3700
Huawei nova Y72S 8/128GB (GFY-LX1) Duos;3700
Huawei Nova Y72 8/128GB (MGA-LX3) Duos;3400
Huawei Nova 5T 6/128GB (YAL-L21) Duos;3100
Huawei Nova 8i 6/128GB (NEN-LX1) Duos;3100
Huawei Nova Y61 6/64GB (EVE-LX9N) Duos;3100
Huawei nova Y63 4/128GB (GFY-LX1) Duos;3100
Huawei Nova Y73 8/128GB (MGA-LX3) Duos;3100
Huawei Y Max 4/128GB (ARS-AL00) Duos;3100
Huawei Nova 3 4/128GB (PAR-LX1) Duos;2850
Huawei Nova Y90 4/128GB (CTR-LX1) Duos;2850
Huawei P20 4/128GB (EML-L29) Duos;2850
Huawei P30 Lite 4/128GB (MAR-LX1M) Duos;2850
Huawei Y8p 4/128GB (AQM-LX1) Duos;2850
Huawei Nova Y61 4/128GB (EVE-LX9N) Duos;2550
Huawei Nova Y61 4/64GB (EVE-LX9N) Duos;2550
Huawei Nova Y70 4/128GB (MGA-LX9N) Duos;2550
Huawei P Smart 2021 (PPA-LX1) Duos;2550
Huawei Mate 20 Lite (SNE-LX1) Duos;2400
Huawei P40 Lite E 4/64GB (ART-L29) Duos;2400
Huawei P40 Lite E 4/64GB (ART-L29N) Duos;2400
Huawei P Smart Z 4/64GB (STK-LX1) Duos;2100
Huawei P10 Lite 3/32GB (WAS-LX1) Duos;2100
Huawei Nova 2s 6/64GB (HWI-AL00) Duos;1950
Huawei Nova 2i (RNE-L21/22) Duos;1800
Huawei Nova 2s 4/64GB (HWI-AL00) Duos;1800
Huawei P20 Lite 4/64GB (ANE-LX1) Duos;1800
Huawei Y7 2019 4/64GB (DUB-LX1) Duos;1800
Huawei Nova 2 (PIC-LX9) Duos;1650
Huawei Y7 2019 3/32GB (DUB-LX1) Duos;1650
Huawei Ascend Mate 7 (MT7-TL10);1400
Huawei P Smart (FIG-LX1) Duos;1400
Huawei GR5 (KLL-L21) Duos;1250
