Модель,Закупочная цена
Realme GT 3 16/1TB (RMX3709) Duos,16850
Realme 14 Pro+ 8/256GB (RMX5051) Duos,13950
Realme GT Neo 5 SE 12/256GB (RMX3700) Duos,13250
Realme GT 2 Pro 12/256GB (RMX3301) Duos,11950
Realme 12 Pro+ 12/512GB (RMX3840) Duos,11450
Realme 14 Pro 8/256GB (RMX5056) Duos,11450
Realme GT 2 Master Explorer Edition 8/256GB (RMX3551) Duos,11450
Realme 11 Pro+ 12/512GB (RMX3741) Duos,10400
Realme GT Neo 3 12/256GB (RMX3561) Duos,10400
Realme GT Neo 3 8/256GB (RMX3563) Duos,10400
Realme 15T 8/256GB (RMX5111) Duos,9850
Realme GT Neo 2 5G 12/256GB (RMX3370) Duos,9850
Realme 11 Pro+ 8/256GB (RMX3741) Duos,9600
Realme 13+ 5G 12/256GB (RMX5000) Duos,8550
Realme GT Neo 2T 12/256GB (RMX3357) Duos,8550
Realme GT Neo 3 8/128GB (RMX3561) Duos,8550
Realme GT Neo 3T 8/256GB (RMX3371) Duos,8550
Realme 10 Pro 8/256GB (RMX3661) Duos,8200
Realme 12 5G 8/256GB (RMX3999) Duos,8200
Realme 13 5G 12/256GB (RMX3951) Duos,8200
Realme 10 Pro+ 8/256GB (RMX3687) Duos,7550
Realme 11 Pro 8/256GB (RMX3771) Duos,7550
Realme 12 Pro 8/256GB (RMX3842) Duos,7550
Realme 12 Pro+ 8/256GB (RMX3840) Duos,7550
Realme GT 5G 8/128GB (RMX2202) Duos,7550
Realme GT Master Edition 8/256GB (RMX3363) Duos,7550
Realme GT Neo 2 5G 8/256GB (RMX3370) Duos,7550
Realme X3 SuperZoom 12/256GB (RMX2086) Duos,7550
Realme 12 4G 8/512GB (RMX3871) Duos,7200
Realme 14T 8/256GB (RMX5078) Duos,6750
Realme 9 Pro+ 5G 8/256GB (RMX3393) Duos,6750
Realme GT Neo 2 5G 8/128GB (RMX3370) Duos,6750
Realme GT Neo 8/128GB (RMX3031) Duos,6750
Realme GT Neo Flash Edition 8/128GB (RMX3350) Duos,6750
Realme 11 8/256GB (RMX3636) Duos,6050
Realme X3 SuperZoom 8/128GB (RMX2086) Duos,6050
Realme 12 4G 8/256GB (RMX3871) Duos,5700
Realme 9 Pro+ 5G 6/128GB (RMX3393) Duos,5700
Realme 9 Pro+ 5G 8/128GB (RMX3393) Duos,5700
Realme GT Master Edition 6/128GB (RMX3363) Duos,5700
Realme X2 Pro 8/128GB (RMX1931) Duos,5300
Realme 10 8/256GB (RMX3630) Duos,4950
Realme 11 8/128GB (RMX3636) Duos,4950
Realme Q2 Pro 8/256GB (RMX2173) Duos,4950
Realme 9 6/128GB (RMX3521) Duos,4700
Realme C65 6/128GB (RMX3910) Duos,4700
Realme C65 8/256GB (RMX3910) Duos,4700
Realme C71 8/256GB (RMX5303) Duos,4700
Realme C75 8/128GB (RMX3941) Duos,4700
Realme C75 8/256GB (RMX3941) Duos,4700
Realme 10 8/128GB (RMX3630) Duos,4300
Realme C67 6/128GB (RMX3890) Duos,4300
Realme C67 8/256GB (RMX3890) Duos,4300
Realme 6 Pro 8/128GB (RMX2063) Duos,4000
Realme 8 Pro 6/128GB (RMX3081) Duos,4000
Realme 9 5G 4/128GB (RMX3474) Duos,4000
Realme 9 Pro 5G 6/128GB (RMX3472) Duos,4000
Realme C71 6/128GB (RMX5303) Duos,4000
Realme 10 4/128GB (RMX3630) Duos,3700
Realme 7 8/128GB (RMX2155) Duos,3700
Realme 8 6/128GB (RMX3085) Duos,3700
Realme C53 6/128GB (RMX3760) Duos,3700
Realme C53 8/256GB (RMX3760) Duos,3700
Realme C55 6/128GB (RMX3710) Duos,3700
Realme C55 8/256GB (RMX3710) Duos,3700
Realme C61 6/128GB (RMX3930) Duos,3700
Realme C61 8/256GB (RMX3930) Duos,3700
Realme Narzo 30 (RMX2156) Duos,3700
Realme Note 50 4/256GB (RMX3834) Duos,3700
Realme 8i 4/128GB (RMX3151) Duos,3400
Realme C63 6/128GB (RMX3939) Duos,3400
Realme Narzo 50 4/128GB (RMX3286) Duos,3400
Realme 3 Pro 4/64GB (RMX1851) Duos,3100
Realme 5 Pro 4/128GB (RMX1971) Duos,3100
Realme 8 5G 4/64GB (RMX3241) Duos,3100
Realme 9i 4/128GB (RMX3491) Duos,3100
Realme Note 60 6/128GB (RMX3933) Duos,3100
Realme C25s 4/128GB (RMX3195) Duos,2850
Realme C33 2023 4/128GB (RMX3627) Duos,2850
Realme C33 4/128GB (RMX3624) Duos,2850
Realme C35 4/128GB (RMX3511) Duos,2850
Realme C51 4/128GB (RMX3830) Duos,2850
Realme C51 4/64GB (RMX3830) Duos,2850
Realme Note 60 4/128GB (RMX3933) Duos,2850
Realme Note 60x 4/128GB (RMX3938) Duos,2850
Realme 5 3/64GB (RMX1927) Duos,2550
Realme C25s 4/64GB (RMX3195) Duos,2550
Realme C33 4/64GB (RMX3624) Duos,2550
Realme C35 4/64GB (RMX3511) Duos,2550
Realme Note 50 4/128GB (RMX3834) Duos,2550
Realme C15 4/64GB (RMX2180) Duos,2400
Realme C25Y 4/64GB (RMX3269) Duos,2400
Realme C33 3/32GB (RMX3624) Duos,2400
Realme Note 60x 3/64GB (RMX3938) Duos,2400
Realme C30 4/64GB (RMX3581) Duos,2250
Realme C31 4/64GB (RMX3501) Duos,2250
Realme Narzo 50i Prime 4/64GB (RMX3506) Duos,2250
Realme Note 50 3/64GB (RMX3834) Duos,2250
Realme C21 4/64GB (RMX3201) Duos,1950
Realme C21Y 4/64GB (RMX3261) Duos,1950
Realme C3 3/64GB (RMX2020) Duos,1950
Realme C11 2021 4/64GB (RMX3231) Duos,1800
Realme C21 3/32GB (RMX3201) Duos,1800
Realme C21Y 3/32GB (RMX3263) Duos,1800
Realme C30 2/32GB (RMX3581) Duos,1800
Realme C30s 3/64GB (RMX3690) Duos,1800
Realme C30s 4/64GB (RMX3690) Duos,1800
Realme C31 3/32GB (RMX3501) Duos,1800
Realme C11 2021 2/32GB (RMX3231) Duos,1650
Realme C30s 2/32GB (RMX3690) Duos,1650
Realme C11 2/32GB (RMX2185) Duos,1550
