Модель;Закупочная цена
Samsung Galaxy S25 Ultra 12/512GB (S938B) Duos;48149
Samsung Galaxy S25+ 12/512GB (S936B) Duos;43749
Samsung Galaxy S25 12/512GB (S931B) Duos;40749
Samsung Galaxy S25 Ultra 12/256GB (S938B) Duos;40749
Samsung Galaxy Z Fold 6 12/256GB (F956B) Duos;39299
Samsung Galaxy Z Fold 6 12/256GB (F956N) Duos;39299
Samsung Galaxy S24 Ultra 12/512GB (S928B) Duos;37749
Samsung Galaxy S25+ 12/256GB (S936B) Duos;37749
Samsung Galaxy S23 Ultra 12/1TB (S918B) Duos;36299
Samsung Galaxy S24 Ultra 12/256GB (S928B) Duos;36299
Samsung Galaxy S24+ 12/512GB (S926B) Duos;34799
Samsung Galaxy Z Flip 7 12/512GB (F766B) Duos;34799
Samsung Galaxy Z Flip 6 12/512GB (F741B) Duos;33299
Samsung Galaxy Z Fold 5 12/256GB (F946B) Duos;33299
Samsung Galaxy Z Fold 5 12/512GB (F946N) Duos;33299
Samsung Galaxy Z Flip 6 12/256GB (F741B) Duos;31849
Samsung Galaxy S25 12/256GB (S931B) Duos;25850
Samsung Galaxy S23 Ultra 12/256GB (S918B) Duos;24400
Samsung Galaxy S23 Ultra 12/512GB (S918B) Duos;24400
Samsung Galaxy S24 FE 8/512GB (S721B) Duos;24400
Samsung Galaxy S23+ 8/512GB (S916B) Duos;23100
Samsung Galaxy S23+ 8/512GB (S916N) Duos;23100
Samsung Galaxy S25 12/128GB (S931B) Duos;23100
Samsung Galaxy S22 Ultra 12/512GB (S908B) Duos;22600
Samsung Galaxy S24 8/256GB (S9210) Duos;22600
Samsung Galaxy S24 8/256GB (S921B) Duos;22600
Samsung Galaxy S25 FE 8/512GB (S731B) Duos;22600
Samsung Galaxy S22 Ultra 12/256GB (S908E) Duos;21450
Samsung Galaxy S22 Ultra 12/512GB (S908N);21450
Samsung Galaxy S22 Ultra 8/128GB (S908E) Duos;21450
Samsung Galaxy Z Flip 5 8/512GB (F731N) Duos;21450
Samsung Galaxy Z Flip 7 FE 8/128GB (F761B) Duos;21450
Samsung Galaxy Z Fold 3 12/512GB (F926B) Duos;21450
Samsung Galaxy Z Fold 3 12/512GB (F926N);21450
Samsung Galaxy Z Flip 5 8/256GB (F731N) Duos;18400
Samsung Galaxy S23+ 8/256GB (S916B) Duos;17650
Samsung Galaxy Z Fold 3 12/256GB (F926B) Duos;16850
Samsung Galaxy S21 Ultra 5G 12/256GB (G998B) Duos;16200
Samsung Galaxy S21 Ultra 5G 12/256GB (G998N);16200
Samsung Galaxy S21 Ultra 5G 16/512GB (G998B) Duos;16200
Samsung Galaxy S23 8/256GB (S911B) Duos;16200
Samsung Galaxy S23 8/256GB (S911N) Duos;16200
Samsung Galaxy S24 FE 8/256GB (S721B) Duos;16200
Samsung Galaxy S10+ 12/1TB (G975F) Duos;15700
Samsung Galaxy S21 Ultra 5G 12/128GB (G998B) Duos;15700
Samsung Galaxy A55 12/256GB (A5560) Duos;14450
Samsung Galaxy Note 10+ 12/256GB (N975F) Duos;14450
Samsung Galaxy Note 20 Ultra 8/256GB (N985F) Duos;14450
Samsung Galaxy S22+ 8/128GB (S906B) Duos;14450
Samsung Galaxy S22 8/256GB (S901N);13950
Samsung Galaxy S23 FE 8/128GB (S711B) Duos;13950
Samsung Galaxy Note 10+ 12/256GB (N975U1);13250
Samsung Galaxy Note 10+ 5G 12/256GB (N976N);13250
Samsung Galaxy S22 8/256GB (S901B) Duos;13250
Samsung Galaxy Z Flip 4 8/128GB (F7210);13250
Samsung Galaxy A56 8/256GB (A566E) Duos;12700
Samsung Galaxy Z Flip 3 5G 8/256GB (F711B);12700
Samsung Galaxy Z Flip 3 5G 8/256GB (F711N);12700
Samsung Galaxy M53 8/256GB (M536B) Duos;12200
Samsung Galaxy Note 20 8/256GB (N980F/DS) Duos;12200
Samsung Galaxy S21+ 5G 8/256GB (G996B) Duos;12200
Samsung Galaxy A55 8/256GB (A556E) Duos;11950
Samsung Galaxy S21 5G 8/256GB (G9910) Duos;11950
Samsung Galaxy S21+ 5G 8/128GB (G996B) Duos;11950
Samsung Galaxy S21+ 5G 8/256GB (G996N);11950
Samsung Galaxy S22 8/128GB (S901B) Duos;11950
Samsung Galaxy S22 8/128GB (S901E) Duos;11950
Samsung Galaxy Z Flip 3 5G 8/128GB (F711B) Duos;11950
Samsung Galaxy A56 8/128GB (A566B) Duos;11450
