Модель;Закупочная цена
Xiaomi 14 Pro 16/1TB (23116PN5BC) Duos;37749
Xiaomi Mix Flip 12/512GB (2405CPX3DG) Duos;37749
Xiaomi 14 Ultra 16/512GB (24030PN60G) Duos;36299
Xiaomi 15 12/256GB (24129PN74G) Duos;31849
Xiaomi 15 12/512GB (24129PN74G) Duos;31849
Xiaomi 15T 12/256GB (25069PTEBG) Duos;16200
Xiaomi 13T Pro 12/256GB (23078PND5G) Duos;15700
Xiaomi 13 8/256GB (2211133G) Duos;12700
Xiaomi 14T 12/256GB (2406APNFAG) Duos;12700
Xiaomi 12 Pro 12/256GB (2201122G) Duos;11950
Xiaomi Mi 11 Pro 12/256GB (M2102K1AC) Duos;11950
Xiaomi Mi 11 Ultra 12/256GB (M2102K1G) Duos;11950
Xiaomi Redmi K60 Pro 12/256GB (22127RK46C) Duos;11950
Xiaomi 12 12/256GB (2201123G) Duos;11450
Xiaomi Redmi Note 15 Pro 5G 8/256GB (25080RABDG) Duos;11450
Xiaomi 12T Pro 12/256GB (22081212UG) Duos;10900
Xiaomi 13T 12/256GB (2306EPN60G) Duos;10900
Xiaomi Redmi Note 13 Pro 5G 12/512GB (2312DRA50G) Duos;10900
Xiaomi Redmi Note 13 Pro+ 12/512GB (23090RA98G) Duos;10900
Xiaomi Redmi Note 13 Pro+ 8/256GB (23090RA98G) Duos;10900
Xiaomi Redmi Note 14 Pro+ 5G 8/256GB (24115RA8EG) Duos;10900
Xiaomi 12 8/256GB (2201123G) Duos;10400
Xiaomi 12T Pro 8/128GB (22081212UG) Duos;9850
Xiaomi Redmi Note 14 Pro 12/256GB (24116RACCG) Duos;9850
Xiaomi Redmi Note 14 Pro 12/512GB (24116RACCG) Duos;9850
Xiaomi 12T 8/256GB (22071212AG) Duos;9600
Xiaomi 13T 8/256GB (2306EPN60G) Duos;9600
Xiaomi 11T Pro 12/256GB (2107113SG) Duos;8550
Xiaomi Mi 11 8/256GB (M2011K2G) Duos;8550
Xiaomi Civi 2 12/256GB (2209129SC) Duos;8200
